time,temperature_2m,relativehumidity_2m,rain,soil_temperature_0_to_7cm,soil_moisture
2023-01-10 00:00:00,21.25,42.27,2.28,24.99,54.84
2023-01-10 01:00:00,20.4,48.37,2.6,22.23,54.85
2023-01-10 02:00:00,20.91,44.45,2.53,23.74,54.3
2023-01-10 03:00:00,20.06,54.16,2.5,23.21,54.27
2023-01-10 04:00:00,24.6,64.35,2.36,24.78,54.44
2023-01-10 05:00:00,23.15,54.16,2.89,22.59,53.88
2023-01-10 06:00:00,23.86,38.76,2.35,22.5,53.1
2023-01-10 07:00:00,22.63,44.52,2.74,22.99,53.7
2023-01-10 08:00:00,24.17,36.06,2.6,24.78,53.13
2023-01-10 09:00:00,21.32,67.61,2.61,22.06,53.81
2023-01-10 10:00:00,24.1,30.55,2.94,22.99,54.59
2023-01-10 11:00:00,23.06,40.23,2.79,24.47,54.54
2023-01-10 12:00:00,20.65,61.19,2.73,22.94,53.11
2023-01-10 13:00:00,23.71,49.4,2.38,24.59,53.27
2023-01-10 14:00:00,22.65,35.73,2.42,22.2,54.97
2023-01-10 15:00:00,21.71,44.05,2.62,22.11,53.65
2023-01-10 16:00:00,22.16,50.81,2.4,24.08,54.49
2023-01-10 17:00:00,21.94,53.72,2.4,22.66,54.47
2023-01-10 18:00:00,21.85,62.24,2.31,24.8,53.27
2023-01-10 19:00:00,23.21,36.6,2.65,24.34,54.84
2023-01-10 20:00:00,23.67,41.56,2.99,23.23,53.84
2023-01-10 21:00:00,22.7,62.67,2.9,22.61,54.56
2023-01-10 22:00:00,24.7,35.74,2.31,24.96,53.62
2023-01-10 23:00:00,21.33,44.64,2.59,23.0,53.04
2023-01-11 00:00:00,21.93,39.33,2.44,24.76,54.06
2023-01-11 01:00:00,22.06,30.17,2.89,22.86,54.28
2023-01-11 02:00:00,22.58,37.52,2.09,22.71,54.95
2023-01-11 03:00:00,24.37,35.29,2.36,22.03,53.4
2023-01-11 04:00:00,21.86,62.88,2.02,22.13,53.51
2023-01-11 05:00:00,23.11,52.57,2.81,23.53,53.18
2023-01-11 06:00:00,23.41,57.2,2.97,24.57,54.7
2023-01-11 07:00:00,24.41,31.56,2.05,24.04,53.83
2023-01-11 08:00:00,23.92,64.97,2.66,23.84,53.29
2023-01-11 09:00:00,24.91,45.5,2.12,24.15,54.75
2023-01-11 10:00:00,24.16,43.4,2.02,23.22,53.53
2023-01-11 11:00:00,20.79,57.24,2.84,24.66,53.74
2023-01-11 12:00:00,20.13,59.66,2.03,22.49,53.97
2023-01-11 13:00:00,20.22,31.38,2.71,24.08,53.1
2023-01-11 14:00:00,22.64,58.33,2.5,22.82,53.94
2023-01-11 15:00:00,22.73,61.68,2.93,24.62,54.44
2023-01-11 16:00:00,21.14,53.94,2.44,23.37,53.2
2023-01-11 17:00:00,23.94,60.58,2.01,24.54,53.8
2023-01-11 18:00:00,24.26,41.66,2.87,24.84,53.66
2023-01-11 19:00:00,23.61,32.75,2.13,22.86,53.0
2023-01-11 20:00:00,22.16,53.67,2.25,23.71,54.46
2023-01-11 21:00:00,21.68,31.54,2.47,22.28,53.16
2023-01-11 22:00:00,21.64,56.93,2.39,24.18,54.99
2023-01-11 23:00:00,21.93,66.05,2.08,23.52,53.6
2023-01-12 00:00:00,22.64,65.53,2.83,22.62,53.55
2023-01-12 01:00:00,22.85,38.57,2.1,23.03,54.78
2023-01-12 02:00:00,23.46,55.23,2.11,22.23,54.8
2023-01-12 03:00:00,20.26,45.69,2.74,22.14,53.21
2023-01-12 04:00:00,23.46,48.39,2.39,24.06,54.22
2023-01-12 05:00:00,23.17,52.13,2.28,23.02,53.26
2023-01-12 06:00:00,23.95,39.08,2.17,24.43,53.44
2023-01-12 07:00:00,21.74,54.14,2.63,22.86,54.74
2023-01-12 08:00:00,22.04,32.21,2.99,24.7,54.58
2023-01-12 09:00:00,23.0,30.97,2.26,24.48,54.87
2023-01-12 10:00:00,20.09,45.83,2.25,23.73,53.86
2023-01-12 11:00:00,23.33,55.48,2.54,24.42,54.16
2023-01-12 12:00:00,20.5,67.83,2.93,22.13,54.89
2023-01-12 13:00:00,20.96,53.01,2.12,22.36,54.75
2023-01-12 14:00:00,22.48,68.45,2.99,22.51,54.47
2023-01-12 15:00:00,22.25,48.44,2.51,24.61,53.59
2023-01-12 16:00:00,22.07,41.54,2.98,22.41,53.98
2023-01-12 17:00:00,23.22,60.08,2.01,23.46,54.26
2023-01-12 18:00:00,22.44,32.78,2.46,22.95,53.7
2023-01-12 19:00:00,23.94,31.73,2.15,22.18,54.59
2023-01-12 20:00:00,23.82,61.62,2.12,22.27,54.81
2023-01-12 21:00:00,21.01,54.69,2.9,22.34,54.86
2023-01-12 22:00:00,20.86,42.54,2.24,22.52,54.09
2023-01-12 23:00:00,21.23,64.68,2.93,24.37,53.1
2023-01-13 00:00:00,22.18,44.95,2.23,22.19,53.21
2023-01-13 01:00:00,22.57,57.76,2.36,24.89,53.0
2023-01-13 02:00:00,24.48,37.03,2.9,22.25,54.59
2023-01-13 03:00:00,23.82,33.17,2.86,23.82,53.0
2023-01-13 04:00:00,21.49,60.73,2.66,23.97,53.96
2023-01-13 05:00:00,24.45,48.13,2.17,22.43,54.07
2023-01-13 06:00:00,24.09,52.56,2.58,22.87,54.39
2023-01-13 07:00:00,23.13,40.65,2.36,24.1,54.43
2023-01-13 08:00:00,20.02,56.2,2.4,22.74,54.38
2023-01-13 09:00:00,23.93,47.59,2.88,23.32,54.46
2023-01-13 10:00:00,24.48,65.85,2.85,24.1,54.25
2023-01-13 11:00:00,22.49,64.39,2.7,23.92,53.19
2023-01-13 12:00:00,21.78,44.14,2.85,22.96,53.53
2023-01-13 13:00:00,20.35,43.69,2.91,22.85,54.61
2023-01-13 14:00:00,24.82,56.16,2.29,22.09,53.52
2023-01-13 15:00:00,21.58,41.56,2.45,22.17,53.69
2023-01-13 16:00:00,22.38,44.58,2.78,24.49,54.95
2023-01-13 17:00:00,24.73,66.44,2.6,22.51,54.65
2023-01-13 18:00:00,22.73,61.98,2.41,22.74,53.84
2023-01-13 19:00:00,23.45,57.47,2.25,23.77,53.1
2023-01-13 20:00:00,23.81,38.74,2.08,23.25,53.55
2023-01-13 21:00:00,20.11,62.48,2.22,24.44,54.47
2023-01-13 22:00:00,24.22,56.12,2.46,24.84,53.74
2023-01-13 23:00:00,20.04,42.25,2.5,24.78,54.73
2023-01-14 00:00:00,20.01,30.72,2.27,22.54,54.48
2023-01-14 01:00:00,20.66,39.64,2.42,22.67,53.07
2023-01-14 02:00:00,23.43,43.17,2.37,23.74,54.63
2023-01-14 03:00:00,23.06,49.41,2.22,23.68,54.6
2023-01-14 04:00:00,22.25,55.06,2.72,24.51,53.99
2023-01-14 05:00:00,21.57,62.01,2.78,24.26,54.42
2023-01-14 06:00:00,24.99,62.22,2.77,23.4,53.15
2023-01-14 07:00:00,23.99,46.59,2.97,24.87,53.27
2023-01-14 08:00:00,21.08,35.31,2.45,23.41,54.02
2023-01-14 09:00:00,21.08,35.31,2.91,22.95,54.63
2023-01-14 10:00:00,23.43,68.0,2.82,24.09,53.13
2023-01-14 11:00:00,20.26,41.04,2.26,23.28,54.27
2023-01-14 12:00:00,24.45,47.01,2.96,24.83,54.16
2023-01-14 13:00:00,23.04,35.14,2.85,23.68,54.87
2023-01-14 14:00:00,22.34,63.81,2.05,22.81,54.23
2023-01-14 15:00:00,20.28,53.56,2.25,22.04,54.68
2023-01-14 16:00:00,20.1,35.22,2.96,23.75,54.36
2023-01-14 17:00:00,20.35,63.52,2.05,24.08,53.75
2023-01-14 18:00:00,23.06,35.93,2.14,22.44,53.54
2023-01-14 19:00:00,20.49,61.99,2.95,23.19,54.2
2023-01-14 20:00:00,20.34,59.78,2.28,23.29,54.21
2023-01-14 21:00:00,22.95,48.65,2.99,23.85,54.39
2023-01-14 22:00:00,20.03,50.45,2.66,23.36,53.56
2023-01-14 23:00:00,24.64,61.21,2.84,22.08,53.89
2023-01-15 00:00:00,23.12,43.76,2.84,24.91,54.79
2023-01-15 01:00:00,22.85,63.71,2.8,22.07,54.9
2023-01-15 02:00:00,20.92,38.61,2.15,23.73,54.48
2023-01-15 03:00:00,20.24,42.67,2.18,23.14,53.05
2023-01-15 04:00:00,21.21,61.01,2.71,23.88,54.08
2023-01-15 05:00:00,21.59,47.21,2.91,23.99,53.31
2023-01-15 06:00:00,22.25,49.49,2.73,24.93,53.52
2023-01-15 07:00:00,23.65,39.85,2.69,23.74,54.25
2023-01-15 08:00:00,23.83,40.14,2.55,24.11,54.54
2023-01-15 09:00:00,21.73,68.37,2.53,24.78,53.83
2023-01-15 10:00:00,20.82,34.97,2.56,23.72,54.26
2023-01-15 11:00:00,23.75,66.14,2.39,23.09,53.82
2023-01-15 12:00:00,23.76,50.42,2.28,22.95,53.41
2023-01-15 13:00:00,22.87,44.34,2.94,23.39,53.09
2023-01-15 14:00:00,22.09,36.99,2.59,24.34,54.14
2023-01-15 15:00:00,23.04,33.34,2.12,23.4,53.23
2023-01-15 16:00:00,20.36,35.51,2.76,23.9,53.24
2023-01-15 17:00:00,24.63,44.29,2.36,23.12,54.93
2023-01-15 18:00:00,20.28,68.41,2.23,23.04,54.53
2023-01-15 19:00:00,21.09,45.85,2.23,24.39,54.1
2023-01-15 20:00:00,22.81,42.07,2.79,22.78,53.03
2023-01-15 21:00:00,24.8,53.72,2.5,22.1,53.82
2023-01-15 22:00:00,22.25,56.29,2.15,23.8,54.51
2023-01-15 23:00:00,23.5,61.53,2.9,24.66,53.94
2023-01-16 00:00:00,23.87,68.88,2.32,24.95,53.79
2023-01-16 01:00:00,22.31,35.14,2.3,22.83,53.62
2023-01-16 02:00:00,22.07,41.89,2.92,23.63,53.82
2023-01-16 03:00:00,24.34,37.67,2.67,23.43,54.46
2023-01-16 04:00:00,21.83,65.1,2.59,22.22,53.89
2023-01-16 05:00:00,20.3,53.94,2.36,24.3,54.46
2023-01-16 06:00:00,20.28,40.04,2.18,22.2,53.47
2023-01-16 07:00:00,21.84,63.46,2.85,24.57,54.05
2023-01-16 08:00:00,22.32,63.51,2.56,23.3,53.41
2023-01-16 09:00:00,20.75,31.94,3.0,22.17,54.91
2023-01-16 10:00:00,24.62,62.92,2.77,22.58,54.35
2023-01-16 11:00:00,22.59,47.56,2.51,23.16,54.87
2023-01-16 12:00:00,20.63,54.17,2.35,23.28,54.81
2023-01-16 13:00:00,21.16,56.1,2.22,23.5,53.06
2023-01-16 14:00:00,21.13,35.34,2.68,22.33,53.09
2023-01-16 15:00:00,20.17,42.55,2.1,24.0,53.67
2023-01-16 16:00:00,23.02,54.38,2.8,24.21,54.77
2023-01-16 17:00:00,24.69,51.03,2.21,24.42,54.58
2023-01-16 18:00:00,20.02,35.46,2.97,24.29,53.09
2023-01-16 19:00:00,21.51,48.26,2.01,22.99,54.84
2023-01-16 20:00:00,21.51,33.98,2.86,23.21,54.25
2023-01-16 21:00:00,23.49,35.59,2.51,23.87,54.9
2023-01-16 22:00:00,20.88,48.08,2.94,24.11,53.92
2023-01-16 23:00:00,23.01,43.16,2.27,24.21,53.27
2023-01-17 00:00:00,24.2,68.95,2.03,23.33,54.34
2023-01-17 01:00:00,21.07,38.65,2.91,22.04,54.83
2023-01-17 02:00:00,21.87,67.63,2.59,24.12,54.55
2023-01-17 03:00:00,21.19,38.76,2.59,23.87,54.87
2023-01-17 04:00:00,20.76,43.78,2.6,23.43,53.38
2023-01-17 05:00:00,22.99,66.9,2.19,23.71,53.45
2023-01-17 06:00:00,22.4,48.14,2.53,22.53,54.73
2023-01-17 07:00:00,23.13,53.63,2.07,24.64,54.04
2023-01-17 08:00:00,20.53,47.76,2.01,24.83,54.07
2023-01-17 09:00:00,22.31,37.03,2.65,24.94,53.83
2023-01-17 10:00:00,20.2,63.31,2.02,22.36,54.84
2023-01-17 11:00:00,22.05,32.73,2.45,22.27,54.09
2023-01-17 12:00:00,23.39,54.51,2.71,23.16,53.2
2023-01-17 13:00:00,22.96,46.18,2.98,24.9,53.21
2023-01-17 14:00:00,20.92,66.6,2.07,24.41,53.89
2023-01-17 15:00:00,22.9,67.68,2.94,22.51,53.38
2023-01-17 16:00:00,24.9,35.46,2.87,24.92,54.69
2023-01-17 17:00:00,20.4,54.52,2.36,24.19,54.04
2023-01-17 18:00:00,21.85,62.85,2.33,22.21,54.88
2023-01-17 19:00:00,21.67,57.81,2.31,22.54,54.4
2023-01-17 20:00:00,22.19,59.69,2.29,22.21,54.03
2023-01-17 21:00:00,23.45,61.3,2.02,22.63,54.11
2023-01-17 22:00:00,21.07,34.77,2.67,24.18,54.61
2023-01-17 23:00:00,21.61,66.59,2.04,22.17,53.48
2023-01-18 00:00:00,24.63,64.57,2.01,22.66,54.44
2023-01-18 01:00:00,23.38,51.12,2.29,23.53,54.46
2023-01-18 02:00:00,21.69,51.64,2.23,24.18,53.95
2023-01-18 03:00:00,23.51,64.27,2.63,23.06,53.43
2023-01-18 04:00:00,22.32,51.92,2.28,23.77,53.76
2023-01-18 05:00:00,20.94,60.52,2.78,22.26,53.7
2023-01-18 06:00:00,21.03,37.79,2.59,23.04,53.15
2023-01-18 07:00:00,23.36,46.6,2.36,24.1,54.63
2023-01-18 08:00:00,20.43,46.27,2.77,24.19,54.65
2023-01-18 09:00:00,24.5,56.39,2.97,23.86,53.69
2023-01-18 10:00:00,20.2,59.75,2.19,22.67,53.53
2023-01-18 11:00:00,20.24,47.99,2.66,23.82,53.67
2023-01-18 12:00:00,24.65,45.32,2.78,24.03,54.41
